Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
1.517596857;48.11805823;18.22676542;102.3147855;4209.874801;4437.142885;10.97419325;12893881300;29.3662101;2.314785504;28
2.626212818;56.54174813;6.99873377;306.5673214;10883.31536;12848.8642;15.68895652;5.1509E+11;17.2482847;23.70347218;263
1.551595478;45.65736361;4.34203512;108.318565;11627.81024;13245.61203;18.6692612;2.54897E+12;20.60896892;8.318565045;387
7.257502775;50.18449941;6.091696108;90.41742377;6711.668052;7335.166934;13.34926166;3.20621E+11;21.91582542;6.386803373;167
0;45.7331155;5.599872122;78.84194293;8486.089742;9229.834517;16.96183622;41322448324;19.43251566;4.593225141;173
4.82221631;86.16352491;26.69084941;63.11822908;1132.548562;1208.583199;11.24613829;24425276237;8.95112015;1.63542432;18
8.703744458;58.05557618;9.601116667;130.1215933;4921.847763;5200.555108;12.72904975;78019902500;25.82195689;5.662656747;106
8.290641784;59.76433333;13.8691051;48.19761415;2636.339347;2791.810766;11.45066005;2.2994E+11;16.70676099;11.66297635;20
1.436159958;55.20863742;17.19197356;100;1410.426797;1458.104066;11.08446159;1.80702E+12;34.31341623;8.733580144;58
4.012082644;50.53060111;13.51228707;107.465943;3270.622399;3643.047176;9.05867718;8.68239E+11;31.30745404;7.465943034;66
0;82.31548336;26.30460466;113.1113719;982.9805416;971.6330365;14.01163418;41961912290;20.39084059;10.79392242;24
4.868220355;54.61010188;3.088461554;94.64511607;9477.887595;10203.4213;11.77708311;1.16174E+12;22.27391475;5.842873195;204
9.363201037;88.24452404;22.23471099;109.7784581;2338.025728;2487.598017;8.572152255;3.82506E+11;15.67631067;9.778458097;9
0;55.77060552;3.229238141;124.3148316;8841.570819;9358.261574;11.86408428;32772200000;31.13832014;5.843879616;284
0;60.75555337;14.12502044;88.91413797;4484.588023;5329.387437;10.06062398;32568075087;20.94778016;5.095710539;42
0.983528108;56.48071253;7.100110137;116.441111;5360.227365;5869.323882;10.36235147;1.59083E+11;23.3485326;6.745787125;90
8.977027702;39.41085285;3.150725721;73.53343218;11125.34459;14311.08432;17.62551153;1.98553E+12;21.32165552;24.46008606;157
16.21130788;46.33829048;2.171427783;115.5293906;20553.97678;23745.88058;19.38950175;6.80923E+11;22.59674699;15.52937335;163
