Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.133269584;0.777154646;0.232152571;0.066223302;0.444048748;0.325830584;0.530068286;0.113481308;0.383480281;0.303770628;0.422273782
0.058475627;0.63868313;0.197074099;0.02980058;0.495113636;0.340597807;0.654945161;0.5733293;0.470115551;0.144470796;0.575406032
0.200496608;0.709147158;0.29449211;0.026454172;0.286376309;0.205725057;0.46008468;0.079224977;0.557354889;0.080284853;0.273781903
0;0.638250243;0.310334947;0.022841601;0.369472567;0.269416256;0.524876602;0.010456856;0.516915678;0.191640433;0.306264501
0.330171504;0.809941063;0.436426109;0.0370261;0.212509533;0.167631356;0.457470723;0.021541759;0.561253523;0.012949512;0.178654292
0.045904892;0.773111714;0.737107113;0.026885569;0.059266471;0.043653074;0.381944524;0.469135889;0.835578624;0.139075627;0.120649652
0.17931278;0.696431755;0.673094548;0.02803191;0.13921168;0.089577046;0.319602127;0.18313245;0.76576106;0.163459751;0.085846868
0.17894871;0.764142904;0.142695284;0.027636318;0.418136327;0.317029724;0.397185967;0.311236358;0.544551482;0.077982272;0.378190255
0;0.76487623;0.166983473;0.03699118;0.363210992;0.300121214;0.398230264;0.009027857;0.713014761;0.12782757;0.549883991
0;0.853286863;0.451211168;0.026119835;0.185874703;0.143672786;0.304533991;0.007483286;0.456095332;0.072062028;0.05800464
0.033023527;0.782157123;0.325930734;0.033341415;0.221024922;0.166232681;0.38216745;0.039851298;0.544850689;0.04076637;0.139211137
0.413646307;0.528490978;0.179803369;0.016717446;0.477585212;0.339207268;0.692806036;0.416035058;0.541319108;0.038927551;0.259860789
0.574013562;0.680959921;0.125641123;0.027570973;0.882429884;0.638306043;0.739480555;0.153955481;0.633889589;-0.310399708;0.329466357
0.035438224;0.672472931;0.790442218;0.032310784;0.191332819;0.162193586;0.37186953;0.004152691;0.699648455;0.088756988;0.062645012
0.133541575;0.77220728;0.313968379;0.080073988;0.485345827;0.411429575;0.505398525;0.143876593;0.409560738;0.413158102;0.482598608
0.067497426;0.629189713;0.181181583;0.032310784;0.527416682;0.447093204;0.633821597;0.752879607;0.50537591;0.166394922;0.737819026
0.27303186;0.695645729;0.278429262;0.027460716;0.296120358;0.251022397;0.458621599;0.097097708;0.542496454;0.075161344;0.334106729
0;0.628171111;0.285487465;0.024355736;0.384461359;0.325909412;0.553959306;0.012819744;0.4788389;0.130946435;0.366589327
0.359048139;0.799353285;0.428466006;0.039790128;0.216532052;0.183555076;0.439937299;0.024098448;0.606038095;0.147465453;0.20649652
0.054928926;0.760930391;0.749531677;0.029715552;0.063440222;0.053778527;0.366877623;0.583011814;0.817819128;0.207931585;0.141531323
0.187811755;0.693649422;0.613184192;0.032310784;0.145910927;0.123689269;0.300162281;0.258500951;0.762922008;0.301531395;0.118329466
0.206223502;0.752992942;0.14171186;0.028892431;0.433261114;0.367277158;0.392333179;0.36761194;0.53116875;0.08978508;0.415313225
0;0.760910432;0.159052796;0.03794938;0.377680331;0.320161108;0.420361263;0.009541479;0.728813333;0.051169796;0.584686775
0;0.83859657;0.586400011;0.027335897;0.203720165;0.172694389;0.302010742;0.009118814;0.524004846;0.091968889;0.069605568
0.042046616;0.774877738;0.300578364;0.035245452;0.23750314;0.20133235;0.350820424;0.048075983;0.578684391;0.112809934;0.185614849
0.444449113;0.529436196;0.147203262;0.019089837;0.498852532;0.422879262;0.62409598;0.519757181;0.532219234;0.280331679;0.294663573
0.735413972;0.659570229;0.116228803;0.032310788;0.900156857;0.763066523;0.673348824;0.188251907;0.601264735;0.339598003;0.350348028
0.087821423;0.65399069;0.802368709;0.033058709;0.196731385;0.17577297;0.365763932;0.004534878;0.722727588;0.045726354;0.064965197
0.151975635;0.768480239;0.308094434;0.099054304;0.508587501;0.508994881;0.522904444;0.181161128;0.424495063;0.468239225;0.610208817
0.08978888;0.620546461;0.191142698;0.034998577;0.543378443;0.524711649;0.622236389;0.896492419;0.50720438;0.164325227;0.897911833
0.419982564;0.682076472;0.268165318;0.029214578;0.313642522;0.290575289;0.444923679;0.11276488;0.539367238;0.126165139;0.387470998
0;0.621576033;0.246514511;0.02547445;0.396562907;0.365630646;0.565328837;0.014533424;0.478250858;0.090734731;0.401392111
0.503674752;0.789055247;0.422655112;0.042043306;0.230002547;0.20601478;0.424252351;0.027440202;0.63550048;0.111860321;0.245939675
0.083108772;0.750361428;0.756815667;0.032310784;0.065910563;0.057761332;0.369439116;0.635542878;0.844482569;0.17252345;0.134570766
0.23217418;0.686780471;0.594830519;0.034723088;0.152839242;0.144315664;0.301920816;0.305366356;0.770503264;0.147482502;0.153132251
0.281717793;0.742226506;0.135958567;0.030580579;0.442910548;0.404198311;0.392523817;0.408592923;0.548180123;0.115420323;0.473317865
0;0.757999348;0.142155757;0.040167096;0.41317487;0.370718156;0.395423519;0.011526236;0.766340734;0.115440204;0.658932715
0;0.825751656;0.621803933;0.028728855;0.209568991;0.211118343;0.335315162;0.011454443;0.515542815;0.100660846;0.097447796
0.056915535;0.767650681;0.312557169;0.037623035;0.250488436;0.232507385;0.345371576;0.055950719;0.574627389;0.133256517;0.208816705
0.51948931;0.535647775;0.138699526;0.023759228;0.519897753;0.566919266;0.587448777;0.698326223;0.524744208;0.483185402;0.364269142
0.938128011;0.629801195;0.095589407;0.037328451;0.96050655;0.940669267;0.646241618;0.239485874;0.556125301;0.306767788;0.378190255
0.101906093;0.63924434;0.82614178;0.033403321;0.199849885;0.168265606;0.361452112;0.004300952;0.651909041;0.020592095;0.064965197
0.141340193;0.766270822;0.254520785;0.121158154;0.497676852;0.518256639;0.554783449;0.187189046;0.390267285;0.440808939;0.723897912
0.088382544;0.612693167;0.183495868;0.037778577;0.5488911;0.490026124;0.61759833;0.845392805;0.509856049;0.156909834;0.92575406
0.363691585;0.670942037;0.245757999;0.030271169;0.322993062;0.3189028;0.449130381;0.125488258;0.519909503;0.071443532;0.447795824
0;0.615778853;0.225867119;0.026680317;0.411053152;0.399111213;0.559603218;0.016091005;0.492927302;0.093508353;0.464037123
0.423097115;0.778598735;0.380451572;0.044139272;0.23936431;0.225088563;0.444524692;0.03047376;0.663603331;0.098478865;0.26450116
0.074841408;0.738118409;0.741557986;0.034874446;0.068656181;0.057197956;0.356087156;0.635247444;0.822911598;0.156736146;0.120649652
